# dumped @ 2017-1-7 Sat 19:51:5
W=0x3
H=0x3
C=0x16
Data_type=0x2 #DATA_TYPE_2D_WEIGHT
Kernel_num=0x2
Precision=INT16
#2D data dump, uncompressed
Data_size=0x400
Crc=0x1124ed50
0xa2 0x5f 0x4f 0x4f 0xc5 0xf0 0x71 0xf1 0x42 0x61 0x2b 0x62 0xb2 0x3e 0xa4 0xb5 0x72 0x10 0xc3 0x8b 0x03 0xaf 0xf1 0x58 0x5d 0xe8 0xce 0x81 0xb3 0x41 0xcf 0x50
0xa7 0x01 0x10 0xe4 0xb5 0x24 0x02 0x3f 0xf1 0xe9 0xd3 0x65 0x93 0xe5 0xbf 0xff 0x10 0x2b 0xd0 0x32 0xac 0x46 0xa4 0xdf 0xfb 0x91 0x47 0x61 0x3f 0xa4 0xe0 0xc4
0x40 0x88 0xa5 0xf8 0x2d 0xee 0xd0 0x74 0x72 0x1a 0x6a 0x32 0xc9 0xc8 0x35 0x5f 0xf1 0x29 0xa6 0xf5 0xd9 0xb9 0x52 0x26 0xe2 0xd6 0x6c 0x68 0x5c 0x2b 0xaf 0xde
0xd3 0xa3 0xf5 0x50 0x5f 0xc2 0x77 0xd2 0xa8 0x98 0x2b 0xa8 0x9b 0xce 0x4a 0x89 0xc8 0x4d 0x2d 0x0c 0x28 0xe7 0x09 0xc5 0x48 0x99 0x7c 0xd8 0xd0 0x6d 0x0d 0xe3
0x30 0x73 0x6b 0x65 0x6b 0x14 0xe5 0x62 0x31 0x9e 0x34 0x6c 0x2a 0x72 0xb2 0xba 0x54 0x3d 0x74 0xe6 0x29 0x5a 0x94 0xec 0x34 0xb5 0xf3 0xb6 0x15 0x34 0xd8 0xcd
0x21 0x94 0x95 0x1f 0xe1 0xaf 0x0c 0x98 0x5e 0x03 0x88 0x3a 0xca 0x10 0x36 0xcd 0x56 0x74 0x95 0x20 0x4e 0xca 0xfa 0x4a 0x30 0x1d 0xbf 0x3c 0x26 0x83 0x4b 0xb4
0xc7 0x29 0x43 0x61 0x14 0xb1 0x29 0xde 0x11 0x06 0x60 0x41 0xbc 0xb4 0x33 0x51 0x5b 0x89 0xf2 0xb5 0x59 0xd3 0x9d 0xb9 0x86 0x08 0x82 0x54 0xec 0xd6 0x38 0x9a
0x38 0x42 0x00 0x00 0xd4 0x6b 0x4a 0x98 0x74 0xfe 0x63 0x08 0x81 0x59 0x20 0xd3 0xc8 0xa5 0x1b 0xff 0x40 0xc7 0x02 0x9c 0xb5 0x55 0xad 0x64 0xdb 0x87 0x56 0x37
0x66 0x07 0xa9 0xdc 0x26 0x11 0xaf 0x59 0x1c 0x40 0x74 0x4f 0x76 0x36 0x00 0xfe 0x51 0xa4 0x7e 0x7b 0x37 0x21 0x86 0x06 0x71 0x41 0xa2 0x1c 0xda 0x1f 0xe0 0xb6
0xa1 0xc9 0x3f 0x30 0x84 0xf8 0x19 0x59 0x81 0x0d 0x93 0x13 0x54 0x8e 0x70 0xca 0x36 0x48 0x57 0xab 0xe5 0xf4 0xb3 0xf6 0xa1 0x14 0x14 0xb4 0xae 0x56 0x9a 0x8b
